概念名,标签,描述摘要,所属大类,建议分解方向,分解理由,是否为原子概念,建议新建父概念,处理优先级
矢石,"军事, 兵器",箭矢与飞石，泛指古代攻防武器。,军事,保留为顶层父概念，分解为兵制、战术、兵器、后勤、边防等子类,军事概念需按组织、作战、装备、后勤四分,否,,中
知人善任,"成语, 治国",了解部下并善于任用,成语,已为最小语义单元，无需分解,成语典故已为固定表达，关联源出即可,是,,低
知足不辱,"成语, 西汉, 东晋, 唐, 老庄",知道满足就不会受辱，劝人知足知止,成语,已为最小语义单元，无需分解,成语典故已为固定表达，关联源出即可,是,,低
知难而退,"成语, 军事, 楚汉, 三国",原指作战中见难以取胜则主动退却，后泛指自知困难而退缩；出自军之善政,成语,已为最小语义单元，无需分解,成语典故已为固定表达，关联源出即可,是,,低
矫制,"行为, 政治",假托皇帝命令行事，亦称矫诏。,政治,保留为顶层父概念，分解为治国方略、君臣之道、谏诤制度、文书政令等子类,政治概念覆盖政策、制度、君臣关系等多个维度,否,,中
矫命,"行为, 政治",假托命令，擅自行动。,政治,保留为顶层父概念，分解为治国方略、君臣之道、谏诤制度、文书政令等子类,政治概念覆盖政策、制度、君臣关系等多个维度,否,,中
矫枉过正,"成语, 政治, 三国, 晋, 唐",纠正偏差过了头，超过了应有的限度,成语,已为最小语义单元，无需分解,成语典故已为固定表达，关联源出即可,是,,低
矫称,"行为, 政治",假称，谎称，冒用名义。,政治,保留为顶层父概念，分解为治国方略、君臣之道、谏诤制度、文书政令等子类,政治概念覆盖政策、制度、君臣关系等多个维度,否,,中
矫诏,"行为, 政治",假托君命，伪造皇帝诏书。,政治,保留为顶层父概念，分解为治国方略、君臣之道、谏诤制度、文书政令等子类,政治概念覆盖政策、制度、君臣关系等多个维度,否,,中
短兵,"军事, 兵器",短兵，短柄兵器，古代指刀剑等近战武器，亦指近身搏斗。,军事,保留为顶层父概念，分解为兵制、战术、兵器、后勤、边防等子类,军事概念需按组织、作战、装备、后勤四分,否,,中
石,"文化, 器物",石矢。立于矢石之中为田单攻狄之勇，以卵投石为荀子论仁人之兵之喻。,器用,建议拆分为器物用具、建筑宫室、服饰衣冠三个独立父概念,三者的物质文化属性不同，合并不妥,否,建议拆分大类为多个独立父概念,高
石_(概念),"度量衡, 石, [[里_(概念)|里]]、[[顷]]、[[斛_(概念)|斛]]、[[斗_(概念)|斗]]、[[斤两]]",容量单位，十斗为一石；亦指重量单位，古代官员俸禄以石计,器用,建议拆分为器物用具、建筑宫室、服饰衣冠三个独立父概念,三者的物质文化属性不同，合并不妥,否,建议拆分大类为多个独立父概念,高
石刻,"文化, 艺术",刻于石上的文字或图像,哲学,保留为父概念，分解为哲学范畴、思想流派、宗教信仰、典籍学术等子类,哲学思想有清晰的内部分野,否,,中
石国,"唐, 石国, 昭武九姓, 西域",昭武九姓之一，中亚粟特城邦，即今塔什干地区。,度量,度量·数量·基础,,,待定,中
石室,"制度, 建筑, 档案, 礼仪",石砌的珍藏室，古代用于保存重要档案文书，亦指山中隐居的石洞。,礼制,保留为父概念，按吉凶军宾嘉五礼分解,《周礼》五礼已有成熟分类,否,,中
石榴,"植物, 果树, 食物",石榴，古代西域传入的名贵果品,自然,建议拆分为天文气象、地理山川、动物、植物、人体生理五个独立父概念,自然领域跨度过大，需按学科分野拆解,否,建议拆分大类为多个独立父概念,高
石经,"文化, 经学",刻于石碑上的儒家经典，为古代官方定本,哲学,保留为父概念，分解为哲学范畴、思想流派、宗教信仰、典籍学术等子类,哲学思想有清晰的内部分野,否,,中
砂_(概念),"地理, 砂, [[沙]] | [[石]] | [[砾]] | [[地理]] | [[荒漠]]",沙砾、砂石，为荒漠或破碎地形之特征。,自然,建议拆分为天文气象、地理山川、动物、植物、人体生理五个独立父概念,自然领域跨度过大，需按学科分野拆解,否,建议拆分大类为多个独立父概念,高
砖,"文化, 建筑",砖石。投砖石为儿童御敌之勇，运砖石为筑城守御之需。,器物,建议拆分为器物用具、建筑宫室、服饰衣冠三个独立父概念,三者的物质文化属性不同，合并不妥,否,建议拆分大类为多个独立父概念,高
砖_(概念),"南北朝, 唐, 建筑, 军事, 砖, [[瓦]] | [[石]] | [[建筑]] | [[城防]] | [[器物]]",砖块，古代建筑之常用材料，亦用于防御投掷,军事,保留为顶层父概念，分解为兵制、战术、兵器、后勤、边防等子类,军事概念需按组织、作战、装备、后勤四分,否,,中
砖石,"概念, 建筑",砖石，砖块与石材，古代建筑和城防工程的基本建筑材料。,器物,建议拆分为器物用具、建筑宫室、服饰衣冠三个独立父概念,三者的物质文化属性不同，合并不妥,否,建议拆分大类为多个独立父概念,高
砚,"文化, 器物",砚台。同砚席为元魏宗室之谊，袂罥砚堕地为宰相争蛮事之怒。,器用,建议拆分为器物用具、建筑宫室、服饰衣冠三个独立父概念,三者的物质文化属性不同，合并不妥,否,建议拆分大类为多个独立父概念,高
砚_(概念),"器物, 文化, 砚",砚台,器用,建议拆分为器物用具、建筑宫室、服饰衣冠三个独立父概念,三者的物质文化属性不同，合并不妥,否,建议拆分大类为多个独立父概念,高
砦_(概念),"南北朝, 五代, 军事, 建筑, 砦","砦，军事堡垒，同""寨""",军事,保留为顶层父概念，分解为兵制、战术、兵器、后勤、边防等子类,军事概念需按组织、作战、装备、后勤四分,否,,中
砲_(概念),"汉, 唐, 军事, 器物, 砲, [[攻城]] | [[器械]] | [[砲石]] | [[李世民]] | [[李光弼]] | [[张巡]] | [[砲烙]]",砲，抛石机，古代攻城重型武器,军事,保留为顶层父概念，分解为兵制、战术、兵器、后勤、边防等子类,军事概念需按组织、作战、装备、后勤四分,否,,中
砲石,"军事, 兵器",投石机发射的石弹，古代攻城器械。,军事,保留为顶层父概念，分解为兵制、战术、兵器、后勤、边防等子类,军事概念需按组织、作战、装备、后勤四分,否,,中
破敌,"军事, 战斗, 取胜, 战略",击败敌人，军事行动的最终目的。通鉴中破敌之论关乎战略战术与士气激励。,军事,保留为顶层父概念，分解为兵制、战术、兵器、后勤、边防等子类,军事概念需按组织、作战、装备、后勤四分,否,,中
破虏,职官,破虏将军，掌破击敌虏,官职,建议拆分为官制体系、具体官职、爵位勋阶三个独立父概念,职官是制度性概念，应按行政层级和职能体系组织,否,建议拆分大类为多个独立父概念,高
破釜,"军事, 战术, 谋略",砸破锅釜以示死战决心，为古代激励士卒决死作战的著名战术。,军事,保留为顶层父概念，分解为兵制、战术、兵器、后勤、边防等子类,军事概念需按组织、作战、装备、后勤四分,否,,中
破釜沉舟,"成语, 军事, 项羽",项羽在巨鹿之战中破釜沉舟、以示必死的典故，比喻下决心不顾一切地干到底,成语,已为最小语义单元，无需分解,成语典故已为固定表达，关联源出即可,是,,低
砺_(概念),"器物, 社会, 砺, [[砥砺]] | [[磨]] | [[才德]] | [[修身]] | [[磨炼]]",古代磨刀石，引申为磨炼、砥砺。,器物,建议拆分为器物用具、建筑宫室、服饰衣冠三个独立父概念,三者的物质文化属性不同，合并不妥,否,建议拆分大类为多个独立父概念,高
碑_(概念),"器物, 文化, 碑",古代竖立的石质纪念物，用以刻写文字纪功颂德或标识墓穴。,器物,建议拆分为器物用具、建筑宫室、服饰衣冠三个独立父概念,三者的物质文化属性不同，合并不妥,否,建议拆分大类为多个独立父概念,高
碑文,"文化, 文学",刻于石碑上的文字，用于记述功绩、纪念逝者或颁扬圣德，为古代重要文体。,哲学,保留为父概念，分解为哲学范畴、思想流派、宗教信仰、典籍学术等子类,哲学思想有清晰的内部分野,否,,中
碗,"文化, 器物",碗盏。玉碗为陶侃拒王敦之赠，马脑碗为北魏胡太后宴诸王之器。,器用,建议拆分为器物用具、建筑宫室、服饰衣冠三个独立父概念,三者的物质文化属性不同，合并不妥,否,建议拆分大类为多个独立父概念,高
碣_(概念),"器物, 文化, 碣, [[碑]] | [[刻石]] | [[秦始皇]] | [[汉武帝]] | [[曹操]] | [[碣石]]",古代圆顶的石碑，用以刻石记事。,器物,建议拆分为器物用具、建筑宫室、服饰衣冠三个独立父概念,三者的物质文化属性不同，合并不妥,否,建议拆分大类为多个独立父概念,高
碾_(概念),"隋, 唐, 器物, 碾, [[硙]] | [[磨]] | [[水磨]] | [[邸店]] | [[产业]] | [[器物]]",碾，石磨，古代粮食加工工具,器物,建议拆分为器物用具、建筑宫室、服饰衣冠三个独立父概念,三者的物质文化属性不同，合并不妥,否,建议拆分大类为多个独立父概念,高
磔,"刑罚, 制度",磔，古代分裂肢体之酷刑；通鉴记吴章要斩磔尸东市，王甫父子悉死杖下僵磔甫尸于夏城门。,法律,保留为父概念，分解为罪名、刑罚、司法程序、刑律制度等子类,法律概念可分实体法与程序法,否,,中
磬,"器乐, 礼乐",磬，古代石制打击乐器，为雅乐中的重要乐器，常与钟并称。,礼制,保留为父概念，按吉凶军宾嘉五礼分解,《周礼》五礼已有成熟分类,否,,中
示_(概念),"行为, 军事, 示, [[彰]]、[[显]]、[[露_(_概念)|露]]、[[表_(_概念)|表]]",显示、示人。示之谤书为明君之度，示弱为诱敌之计。,军事,保留为顶层父概念，分解为兵制、战术、兵器、后勤、边防等子类,军事概念需按组织、作战、装备、后勤四分,否,,中
礼,"文化, 伦理",礼制。礼为纪纲之总，礼之大节为君臣之分，礼辨贵贱序亲疏裁群物制庶事。,道德,保留为顶层父概念，下设德目子概念,伦理道德有层级：伦理→德目→具体品德表现,否,,中
礼_(概念),"思想, 礼制, 礼",古代社会规范和道德准则的总称，以礼为纪纲。,礼制,保留为父概念，按吉凶军宾嘉五礼分解,《周礼》五礼已有成熟分类,否,,中
礼义,"伦理, 礼制",礼仪道义，古代社会秩序与道德的根基，通鉴首篇即论礼义之大节。,道德,保留为顶层父概念，下设德目子概念,伦理道德有层级：伦理→德目→具体品德表现,否,,中
礼仪,"礼制, 文化, 制度",礼仪，礼法仪式之总称，涵盖朝聘、祭祀、冠婚、丧葬等国家典仪,礼制,保留为父概念，按吉凶军宾嘉五礼分解,《周礼》五礼已有成熟分类,否,,中
礼制,"概念, 礼制, 礼仪, 制度",礼乐制度是中国古代政治秩序的根本，通鉴开篇即论礼之分，强调礼制为治国之本。,礼制,保留为父概念，按吉凶军宾嘉五礼分解,《周礼》五礼已有成熟分类,否,,中
礼学,"学术, 礼制, 儒学",礼学，研究礼制仪节之学问，儒家经典之学。,哲学,保留为父概念，分解为哲学范畴、思想流派、宗教信仰、典籍学术等子类,哲学思想有清晰的内部分野,否,,中
礼教,"礼制, 社会",礼教，礼仪教化，古代以礼化民之治理方式。,礼制,保留为父概念，按吉凶军宾嘉五礼分解,《周礼》五礼已有成熟分类,否,,中
礼法,"礼制, 法治",礼制与法令的结合，古代社会秩序的根本,礼制,保留为父概念，按吉凶军宾嘉五礼分解,《周礼》五礼已有成熟分类,否,,中
礼让,"概念, 品德, 礼让, 礼仪",以礼相让是维系社会秩序的重要规范，是儒家礼教的核心精神。,道德,保留为顶层父概念，下设德目子概念,伦理道德有层级：伦理→德目→具体品德表现,否,,中
礼记,"经典, 礼制",儒家五经之一，记载先秦礼制的文献汇编,礼制,保留为父概念，按吉凶军宾嘉五礼分解,《周礼》五礼已有成熟分类,否,,中
礼部,"官职, 隋唐, 六部",礼部，隋唐尚书省六部之一，掌礼仪、祭享、贡举之政,官职,建议拆分为官制体系、具体官职、爵位勋阶三个独立父概念,职官是制度性概念，应按行政层级和职能体系组织,否,建议拆分大类为多个独立父概念,高
社,"文化, 礼制",社神。社稷为国家之代称，太丘社亡为周之异象，赖社稷神灵为楚人以复国为辞。,礼制,保留为父概念，按吉凶军宾嘉五礼分解,《周礼》五礼已有成熟分类,否,,中
社稷,"礼仪, 国家, 祭祀",土神与谷神，古代国家祭祀之根本，后成为国家政权的代称。,礼制,保留为父概念，按吉凶军宾嘉五礼分解,《周礼》五礼已有成熟分类,否,,中
祀_(概念),"礼制, 宗教, 祀, [[祭_(概念)|祭]] | [[祈_(概念)|祈]] | [[祷_(概念)|祷]] | [[醮_(概念)|醮]] | [[宗庙]] | [[名分]]",祭祀，供奉神灵祖先之仪式,礼制,保留为父概念，按吉凶军宾嘉五礼分解,《周礼》五礼已有成熟分类,否,,中
祀天,"礼制, 宗教",祀天，祭祀上天，天子祭天之礼。,礼制,保留为父概念，按吉凶军宾嘉五礼分解,《周礼》五礼已有成熟分类,否,,中
祈_(概念),"礼制, 宗教, 祈, [[祷_(概念)|祷]] | [[祀_(概念)|祀]] | [[祭_(概念)|祭]] | [[醮_(概念)|醮]] | [[筮_(概念)|筮]] | [[汉文帝]]",向神灵祷告求福,礼制,保留为父概念，按吉凶军宾嘉五礼分解,《周礼》五礼已有成熟分类,否,,中
祈谷,"唐, 礼制",祈谷，祈求丰年之祭礼,礼制,保留为父概念，按吉凶军宾嘉五礼分解,《周礼》五礼已有成熟分类,否,,中
祈雨,"礼制, 祭祀",古代天旱时向神明祈请降雨之祭礼,礼制,保留为父概念，按吉凶军宾嘉五礼分解,《周礼》五礼已有成熟分类,否,,中
祓除,"制度, 礼仪",祓除，以祭祀仪式清除不祥，古代祓禳之礼。,礼制,保留为父概念，按吉凶军宾嘉五礼分解,《周礼》五礼已有成熟分类,否,,中
祖_(概念),"文化, 礼制, 祖",祖先、祖父。食必祭其先祖于庭为田单令即墨守城之举，追尊庄襄王为太上皇为始皇定帝号之制。,礼制,保留为父概念，按吉凶军宾嘉五礼分解,《周礼》五礼已有成熟分类,否,,中
祖道,"概念, 礼俗, 礼仪",祖道，古代出行前祭祀路神并设宴送行的仪式，是重要的出行礼仪。,礼制,保留为父概念，按吉凶军宾嘉五礼分解,《周礼》五礼已有成熟分类,否,,中
祚_(概念),"文化, 政治, 祚, [[宗_(概念)|宗]]、[[族_(概念)|族]]、[[谱_(_概念)|谱]]、[[裔_(_概念)|裔]]、[[位]]",国祚、福祚，为皇位国运之所在。,政治,保留为顶层父概念，分解为治国方略、君臣之道、谏诤制度、文书政令等子类,政治概念覆盖政策、制度、君臣关系等多个维度,否,,中
祝,"宗教, 礼制",祝，祝祷、祭祀之官；祭祀则祝之勿使反为赵太后送燕后之辞，太祝之祀雍上帝为秦皇封禅之礼。,礼制,保留为父概念，按吉凶军宾嘉五礼分解,《周礼》五礼已有成熟分类,否,,中
祝_(概念),"文化, 礼制, 祝, [[祷_(概念)|祷]] | [[祈_(概念)|祈]] | [[祀_(概念)|祀]] | [[祭_(概念)|祭]] | [[祠_(概念)|祠]]",古代祭祀时主持祷告的人，亦泛指祈祷。,礼制,保留为父概念，按吉凶军宾嘉五礼分解,《周礼》五礼已有成熟分类,否,,中
祝文,"制度, 礼仪, 文书",祝文，祭祀祷告之文辞，用于祭天地、先祖、先贤等。,礼制,保留为父概念，按吉凶军宾嘉五礼分解,《周礼》五礼已有成熟分类,否,,中
神,"宗教, 思想",神，神灵、神明；社稷神灵为赵武灵王赖社稷之庇，神师下教为田单火牛阵所托之神。,哲学,保留为父概念，分解为哲学范畴、思想流派、宗教信仰、典籍学术等子类,哲学思想有清晰的内部分野,否,,中
神主,"礼制, 丧葬",供奉于宗庙中的先帝灵位。,礼制,保留为父概念，按吉凶军宾嘉五礼分解,《周礼》五礼已有成熟分类,否,,中
神仙,"宗教, 道教, 方术",道教和民间信仰中修炼得道、长生不死之人，历代帝王多求神仙,哲学,保留为父概念，分解为哲学范畴、思想流派、宗教信仰、典籍学术等子类,哲学思想有清晰的内部分野,否,,中
神武军,"唐, 神武军, 禁军",唐代北衙禁军之一，与左右羽林、左右龙武合称北牙六军。,军事,保留为顶层父概念，分解为兵制、战术、兵器、后勤、边防等子类,军事概念需按组织、作战、装备、后勤四分,否,,中
神气,"社会, 哲学",神气，精神气色，古代指人之精神风貌与气度。,社会,保留为父概念，分解为社会阶层、亲属称谓、民族部落、家庭关系等子类,社会概念覆盖群体、身份、关系等多维,否,,中
神爵,"年号, 汉宣帝, 西汉",汉宣帝第四个年号（前61—前58），共四年,年号,建议拆分为历法制度、年号序列、时间单位等子类,时间概念可按计时体系和纪年方式划分,否,,中
神算,"概念, 军事, 谋略",神算，神妙的谋算，古代称赞军事统帅料敌制胜、运筹帷幄的超凡智谋。,军事,保留为顶层父概念，分解为兵制、战术、兵器、后勤、边防等子类,军事概念需按组织、作战、装备、后勤四分,否,,中
神道,"唐, 礼制, 丧葬",神道，古代陵墓前修建的通道，两侧立石像生,礼制,保留为父概念，按吉凶军宾嘉五礼分解,《周礼》五礼已有成熟分类,否,,中
祟_(概念),"思想, 社会, 祟, [[巫蛊]] | [[江充]] | [[赵王如意]] | [[冉闵]] | [[武则天]] | [[迷信]]",古代指鬼怪作祟害人，亦指灾祸的根源。,社会,保留为父概念，分解为社会阶层、亲属称谓、民族部落、家庭关系等子类,社会概念覆盖群体、身份、关系等多维,否,,中
祠堂,"秦汉, 礼制, 祭祀",祠堂，古代祭祀祖先或先贤的建筑,礼制,保留为父概念，按吉凶军宾嘉五礼分解,《周礼》五礼已有成熟分类,否,,中
祠祀,礼仪,祭祀祠庙，古代祭祀天地山川祖先的礼仪活动。,礼制,保留为父概念，按吉凶军宾嘉五礼分解,《周礼》五礼已有成熟分类,否,,中
祥,"思想, 宗教",祥，吉祥、善兆；不听之不祥为魏王从谏之论，杀降不祥为古代兵家之戒。,哲学,保留为父概念，分解为哲学范畴、思想流派、宗教信仰、典籍学术等子类,哲学思想有清晰的内部分野,否,,中
祥_(概念),"思想, 社会, 吉凶, 祥, [[吉凶]] | [[灾祥]] | [[天人]] | [[不祥]] | [[征兆]] | [[思想]]",古代指吉凶的征兆，善事之兆为祥。,社会,保留为父概念，分解为社会阶层、亲属称谓、民族部落、家庭关系等子类,社会概念覆盖群体、身份、关系等多维,否,,中
祫,"礼制, 祭祀",祫，古代天子诸侯合祭祖先之大礼，三年一祫，五年一禘。,礼制,保留为父概念，按吉凶军宾嘉五礼分解,《周礼》五礼已有成熟分类,否,,中
祫祭,礼制,祫祭，古代合祭先祖之大礼，天子三年一祫五年一禘。,礼制,保留为父概念，按吉凶军宾嘉五礼分解,《周礼》五礼已有成熟分类,否,,中
祭_(概念),"礼制, 宗教, 祭, [[祀_(概念)|祀]]、[[祈_(概念)|祈]]、[[祷_(概念)|祷]]、[[醮_(_概念)|醮]]",备供品以祀神祇祖先,礼制,保留为父概念，按吉凶军宾嘉五礼分解,《周礼》五礼已有成熟分类,否,,中
祭器,礼仪制度,祭祀器物制度,哲学,保留为父概念，分解为哲学范畴、思想流派、宗教信仰、典籍学术等子类,哲学思想有清晰的内部分野,否,,中
祭祀,"祭祀, 礼制",古代祭神祀祖的仪式。,礼制,保留为父概念，按吉凶军宾嘉五礼分解,《周礼》五礼已有成熟分类,否,,中
祯祥,"概念, 宗教",祯祥，吉祥征兆，预示吉庆之自然或人事现象。,哲学,保留为父概念，分解为哲学范畴、思想流派、宗教信仰、典籍学术等子类,哲学思想有清晰的内部分野,否,,中
祷_(概念),"礼制, 宗教, 祷, [[祈_(概念)|祈]]、[[祀_(概念)|祀]]、[[祭_(概念)|祭]]、[[醮_(_概念)|醮]]、[[筮_(概念)|筮]]",向神祈求祷告,礼制,保留为父概念，按吉凶军宾嘉五礼分解,《周礼》五礼已有成熟分类,否,,中
祷祀,"礼仪, 宗教",祷祀，向神灵祈祷祭祀以求福佑,哲学,保留为父概念，分解为哲学范畴、思想流派、宗教信仰、典籍学术等子类,哲学思想有清晰的内部分野,否,,中
祷祠,"礼制, 宗教, 祭祀, 风俗",向神灵祈祷祭祀，古代社会中的宗教活动，上自帝王下至民间皆有之。,礼制,保留为父概念，按吉凶军宾嘉五礼分解,《周礼》五礼已有成熟分类,否,,中
祷请,"制度, 宗教, 礼仪",祷请，向神灵祈祷请求，以求福消灾之宗教行为。,礼制,保留为父概念，按吉凶军宾嘉五礼分解,《周礼》五礼已有成熟分类,否,,中
祸,"哲学, 政治",祸，祸患、灾祸；祸福无门唯人所召，祸起萧墙为内乱之始。,政治,保留为顶层父概念，分解为治国方略、君臣之道、谏诤制度、文书政令等子类,政治概念覆盖政策、制度、君臣关系等多个维度,否,,中
祸_(概念),"思想, 社会, 祸, [[福]] | [[灾异]] | [[兵祸]] | [[乱世]] | [[安危]]",古代指灾祸、祸患，与福相对。,社会,保留为父概念，分解为社会阶层、亲属称谓、民族部落、家庭关系等子类,社会概念覆盖群体、身份、关系等多维,否,,中
祸福,"周, 汉, 哲学",祸福，祸患与福祉，命运主题,哲学,保留为父概念，分解为哲学范畴、思想流派、宗教信仰、典籍学术等子类,哲学思想有清晰的内部分野,否,,中
祸败,概念,祸败，祸患败亡，指灾祸与失败之结局。,军事,灾祸败亡，归入军事/政治,抽象后果概念,,需审核,低
禀假,"制度, 社会",禀假，俸禄与给假，古代指官吏之俸给与休假制度。,社会,保留为父概念，分解为社会阶层、亲属称谓、民族部落、家庭关系等子类,社会概念覆盖群体、身份、关系等多维,否,,中
禀给,"制度, 经济",禀给，官府供给粮食等生活物资，为古代赈济与供养制度,经济,保留为父概念，分解为赋税制度、货币钱币、仓储漕运、商业贸易、农业田制等子类,古代经济制度各有独立体系,否,,中
禀赐,"概念, 制度, 赏赐",禀赐，官府给予的粮食物资赏赐，指国家发放的俸禄或赏赐。,政治,保留为顶层父概念，分解为治国方略、君臣之道、谏诤制度、文书政令等子类,政治概念覆盖政策、制度、君臣关系等多个维度,否,,中
禀食,"制度, 经济",禀食，官府供给粮食，为古代赈济贫民或供应边塞驻军的重要制度,经济,保留为父概念，分解为赋税制度、货币钱币、仓储漕运、商业贸易、农业田制等子类,古代经济制度各有独立体系,否,,中
禁中,"宫禁, 制度",帝王宫禁之中，非侍从不得入。,建筑,帝王宫禁，归入建筑,已为原子概念,,需审核,低
禁令,"法律, 制度",禁令，禁律法令，禁止性规定。,法律,保留为父概念，分解为罪名、刑罚、司法程序、刑律制度等子类,法律概念可分实体法与程序法,否,,中
禁兵,"军事, 官制, 宫廷",禁卫军，指保卫皇帝与皇宫的直属精锐部队。,军事,保留为顶层父概念，分解为兵制、战术、兵器、后勤、边防等子类,军事概念需按组织、作战、装备、后勤四分,否,,中
禁苑,"制度, 皇家",皇家园林，天子游猎之所。,建筑,皇家园林，归入建筑,已为原子概念,,需审核,低
禁锢,"汉, 法律",禁锢，终身不得为官之刑罚,法律,保留为父概念，分解为罪名、刑罚、司法程序、刑律制度等子类,法律概念可分实体法与程序法,否,,中
禁闼,"概念, 宫殿, 宫禁",禁闼，指宫禁门户，借指宫廷之内，是古代对帝王居所的尊称。,器物,建议拆分为器物用具、建筑宫室、服饰衣冠三个独立父概念,三者的物质文化属性不同，合并不妥,否,建议拆分大类为多个独立父概念,高
禄位,"制度, 官制",官职与俸禄，指官员的地位与待遇。,官制,建议拆分为官制体系、具体官职、爵位勋阶三个独立父概念,职官是制度性概念，应按行政层级和职能体系组织,否,建议拆分大类为多个独立父概念,高
禄秩,"官制, 俸禄",俸禄等级制度，关乎吏治清浊。,官制,建议拆分为官制体系、具体官职、爵位勋阶三个独立父概念,职官是制度性概念，应按行政层级和职能体系组织,否,建议拆分大类为多个独立父概念,高
禄赐,"制度, 官制",俸禄与赏赐，朝廷给予官员的待遇。,官制,建议拆分为官制体系、具体官职、爵位勋阶三个独立父概念,职官是制度性概念，应按行政层级和职能体系组织,否,建议拆分大类为多个独立父概念,高
福,"哲学, 社会",福，福气、福禄、福祉；祸福无门唯人所召，为善者得福为恶者得祸。,社会,保留为父概念，分解为社会阶层、亲属称谓、民族部落、家庭关系等子类,社会概念覆盖群体、身份、关系等多维,否,,中
福_(概念),,古代指幸福、好运，为人生所求之善果,情感,保留为父概念，分解为基本情感、心理状态、品评用语等子类,情感心理学有独立概念体系,否,,中
福祚,"命运, 福祉, 国运, 天命",福运、国运，指国家或家族的福祚绵延。通鉴中福祚之论关乎德政与天命的关系。,政治,保留为顶层父概念，分解为治国方略、君臣之道、谏诤制度、文书政令等子类,政治概念覆盖政策、制度、君臣关系等多个维度,否,,中
禘,"制度, 礼仪, 祭祀",禘，天子宗庙大祭之名，五年一禘，与祫并称殷礼。,礼制,保留为父概念，按吉凶军宾嘉五礼分解,《周礼》五礼已有成熟分类,否,,中
禘祫,"礼制, 祭祀",古代帝王宗庙祭祀大典，禘为各庙分祭，祫为合祭先祖,礼制,保留为父概念，按吉凶军宾嘉五礼分解,《周礼》五礼已有成熟分类,否,,中
离合,"社会, 政治",离合，分离与聚合，古代指事物之分散与合并。,政治,保留为顶层父概念，分解为治国方略、君臣之道、谏诤制度、文书政令等子类,政治概念覆盖政策、制度、君臣关系等多个维度,否,,中
离宫,"建筑, 宫室",帝王在正式宫殿之外别筑的宫室，供游幸休憩,器物,建议拆分为器物用具、建筑宫室、服饰衣冠三个独立父概念,三者的物质文化属性不同，合并不妥,否,建议拆分大类为多个独立父概念,高
禽兽,"社会, 自然",禽兽，飞禽与走兽，古代常喻指野蛮未化之人。,自然,建议拆分为天文气象、地理山川、动物、植物、人体生理五个独立父概念,自然领域跨度过大，需按学科分野拆解,否,建议拆分大类为多个独立父概念,高
禾_(概念),"文化, 农业, 禾, [[嘉禾]] | [[农业]] | [[五谷]] | [[祥瑞]] | [[田]]",禾苗、谷物，为古代农业之根本。,经济,保留为父概念，分解为赋税制度、货币钱币、仓储漕运、商业贸易、农业田制等子类,古代经济制度各有独立体系,否,,中
禾稼,"生产, 农业",庄稼谷物，泛指农作物。,经济,保留为父概念，分解为赋税制度、货币钱币、仓储漕运、商业贸易、农业田制等子类,古代经济制度各有独立体系,否,,中
私,"政治, 道德",私，私人、私欲、偏私；以公灭私为治道之要，私欲横行为乱政之由。,道德,保留为顶层父概念，下设德目子概念,伦理道德有层级：伦理→德目→具体品德表现,否,,中
私_(概念),"行为, 伦理, 私",私，私人、私下，与「公」相对，指个人利益或偏私之举。,道德,保留为顶层父概念，下设德目子概念,伦理道德有层级：伦理→德目→具体品德表现,否,,中
私田,"农业, 经济",私田，私人所有之田地；通鉴记太子营立私田畜养鸡犬与民争利。,经济,保留为父概念，分解为赋税制度、货币钱币、仓储漕运、商业贸易、农业田制等子类,古代经济制度各有独立体系,否,,中
秉政,"制度, 政治",秉政，执掌政权，古代指大臣掌握朝政大权,政治,保留为顶层父概念，分解为治国方略、君臣之道、谏诤制度、文书政令等子类,政治概念覆盖政策、制度、君臣关系等多个维度,否,,中
秉节,"官职, 仪制, 兵权",执持符节，执掌兵权或方面重任。,礼制,保留为父概念，按吉凶军宾嘉五礼分解,《周礼》五礼已有成熟分类,否,,中
秋_(概念),"时间, 秋",秋季，万物成熟之季，古代行刑之时,时间,建议拆分为历法制度、年号序列、时间单位等子类,时间概念可按计时体系和纪年方式划分,否,,中
秋毫无犯,"成语, 军事",形容军队纪律严明，丝毫不侵犯百姓利益,成语,已为最小语义单元，无需分解,成语典故已为固定表达，关联源出即可,是,,低
科敛,"经济, 制度",按科条征收赋税，通鉴多记科敛无度、百姓困苦。,经济,保留为父概念，分解为赋税制度、货币钱币、仓储漕运、商业贸易、农业田制等子类,古代经济制度各有独立体系,否,,中
科条,"制度, 法律",法令条文或规章制度，通鉴载王莽六筦科条、马融对策论科条、孙权令有司写科条等事。,法律,保留为父概念，分解为罪名、刑罚、司法程序、刑律制度等子类,法律概念可分实体法与程序法,否,,中
科第,"教育, 官制",科第，科举等第，古代科举制度之录取等级。,社会,保留为父概念，分解为社会阶层、亲属称谓、民族部落、家庭关系等子类,社会概念覆盖群体、身份、关系等多维,否,,中
科调,"概念, 赋税, 制度",科调，指官府按科条征调物资或人力，魏晋南北朝时期常见的赋调方式。,经济,保留为父概念，分解为赋税制度、货币钱币、仓储漕运、商业贸易、农业田制等子类,古代经济制度各有独立体系,否,,中
